,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20,2020/3/21,2020/3/22,2020/3/23,2020/3/24,2020/3/25,2020/3/26,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10,2020/5/11,2020/5/12,2020/5/13,2020/5/14,2020/5/15,2020/5/16,2020/5/17,2020/5/18,2020/5/19,2020/5/20,2020/5/21,2020/5/22,2020/5/23,2020/5/24,2020/5/25,2020/5/26,2020/5/27,2020/5/28,2020/5/29,2020/5/30,2020/5/31,2020/6/1,2020/6/2,2020/6/3,2020/6/4,2020/6/5,2020/6/6,2020/6/7,2020/6/8,2020/6/9,2020/6/10,2020/6/11,2020/6/12,2020/6/13,2020/6/14,2020/6/15,2020/6/16,2020/6/17,2020/6/18,2020/6/19,2020/6/20,2020/6/21,2020/6/22,2020/6/23,2020/6/24,2020/6/25,2020/6/26,2020/6/27,2020/6/28,2020/6/29,2020/6/30,2020/7/1,2020/7/2,2020/7/3,2020/7/4,2020/7/5,2020/7/6,2020/7/7,2020/7/8,2020/7/9,2020/7/10,2020/7/11,2020/7/12,2020/7/13,2020/7/14,2020/7/15,2020/7/16,2020/7/17,2020/7/18,2020/7/19,2020/7/20,2020/7/21,2020/7/22,2020/7/23,2020/7/24,2020/7/25,2020/7/26,2020/7/27,2020/7/28,2020/7/29,2020/7/30,2020/7/31,2020/8/1,2020/8/2,2020/8/3,2020/8/4,2020/8/5,2020/8/6,2020/8/7,2020/8/8,2020/8/9,2020/8/10,2020/8/11,2020/8/12,2020/8/13,2020/8/14,2020/8/15,2020/8/16,2020/8/17,2020/8/18,2020/8/19,2020/8/20,2020/8/21,2020/8/22,2020/8/23,2020/8/24,2020/8/25,2020/8/26,2020/8/27,2020/8/28,2020/8/29,2020/8/30,2020/8/31,2020/9/1,2020/9/2,2020/9/3,2020/9/4,2020/9/5,2020/9/6,2020/9/7,2020/9/8,2020/9/9,2020/9/10,2020/9/11,2020/9/12,2020/9/13,2020/9/14,2020/9/15,2020/9/16,2020/9/17,2020/9/18,2020/9/19,2020/9/20,2020/9/21,2020/9/22,2020/9/23,2020/9/24,2020/9/25,2020/9/26,2020/9/27,2020/9/28,2020/9/29,2020/9/30,2020/10/1,2020/10/2,2020/10/3,2020/10/4,2020/10/5,2020/10/6,2020/10/7,2020/10/8,2020/10/9,2020/10/10,2020/10/11,2020/10/12,2020/10/13,2020/10/14,2020/10/15,2020/10/16,2020/10/17,2020/10/18,2020/10/19,2020/10/20,2020/10/21,2020/10/22,2020/10/23,2020/10/24,2020/10/25,2020/10/26,2020/10/27,2020/10/28,2020/10/29,2020/10/30,2020/10/31,2020/11/1,2020/11/2,2020/11/3,2020/11/4,2020/11/5,2020/11/6,2020/11/7,2020/11/8,2020/11/9,2020/11/10,2020/11/11,2020/11/12,2020/11/13,2020/11/14,2020/11/15,2020/11/16,2020/11/17,2020/11/18,2020/11/19,2020/11/20,2020/11/21,2020/11/22,2020/11/23,2020/11/24,2020/11/25,2020/11/26,2020/11/27,2020/11/28,2020/11/29,2020/11/30,2020/12/1,2020/12/2,2020/12/3,2020/12/4,2020/12/5,2020/12/6,2020/12/7,2020/12/8,2020/12/9,2020/12/10,2020/12/11,2020/12/12,2020/12/13,2020/12/14,2020/12/15,2020/12/16,2020/12/17,2020/12/18,2020/12/19,2020/12/20,2020/12/21,2020/12/22,2020/12/23,2020/12/24,2020/12/25,2020/12/26,2020/12/27,2020/12/28,2020/12/29,2020/12/30,2020/12/31,2021/1/1,2021/1/2,2021/1/3,2021/1/4,2021/1/5,2021/1/6,2021/1/7,2021/1/8,2021/1/9,2021/1/10,2021/1/11,2021/1/12,2021/1/13,2021/1/14,2021/1/15,2021/1/16,2021/1/17,2021/1/18,2021/1/19,2021/1/20,2021/1/21,2021/1/22,2021/1/23,2021/1/24,2021/1/25,2021/1/26,2021/1/27,2021/1/28,2021/1/29,2021/1/30,2021/1/31,2021/2/1,2021/2/2,2021/2/3,2021/2/4,2021/2/5,2021/2/6,2021/2/7,2021/2/8,2021/2/9,2021/2/10,2021/2/11,2021/2/12,2021/2/13,2021/2/14,2021/2/15,2021/2/16,2021/2/17,2021/2/18,2021/2/19,2021/2/20,2021/2/21,2021/2/22,2021/2/23,2021/2/24,2021/2/25,2021/2/26,2021/2/27,2021/2/28,2021/3/1
10012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,2,2,4,3,3,3,3,2,5,4,4,3,3,3,2,2,1,2,8,4,0,1,2,2,3,2,2,5,3,1,2,1,1,2,1,1,1,3,2,1,1,0,1,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,1,1,2,2,1,0,0,1,1,0,1,0,0,0,1,1,1,2,0,0,1,0,2,0,1,1,0,1,0,0,0,2,1,1,3,0,0,1,0,3,0,2,1,0,0,5,2,1,1,1,0,1,2,1,1,1,0,0,0,1,2,0,1,0,0,1,2,0,4,0,0,1,0,0,3,0,0,1,0,2,0,0,2,0,0,3,1,0,0,0,2,0,1,1,0,5,1,1,2,1,2,2,3,4,2,2,0,0,0,3,1,0,5,1,2,1,1,1,1,4,3,3,2,2,4,2,1,7,0,1,2,1,1,1,5,2,6,8,3,1,3,1,5,1,4,1,8,3,5,7,7,11,8,2,5,2,4,3,8,6,7,0,3,3,2,2,2,2,3,8,3,7,8,4,7,6,4,2,6,7,4,9,1,4,3,4,6,8,5,2,3,1,5,10,5,4,7,4,6,8,15,5,14,4,12,7,12,7,10,15,9,8,7,6,11,8,14,3,4,4,4,6,12,5,8,4,4,4,3,5,10,4,4,3,8,8,9,4,7,8,0,7,3,9,8,9
10013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,2,2,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,2,1,4,1,3,3,4,2,2,1,2,2,6,1,1,2,6,0,3,2,2,3,0,3,5,0,1,2,1,2,3,0,4,2,5,0,2,2,1,1,2,0,1,0,1,2,0,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,4,1,1,0,1,1,2,2,1,0,0,0,3,4,0,1,1,0,1,0,1,1,1,0,0,1,3,0,1,2,0,0,1,2,0,0,1,1,2,1,0,0,2,1,1,1,3,1,0,0,0,4,2,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,2,2,1,1,0,0,0,2,1,0,1,0,0,0,3,3,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,3,2,3,0,5,3,2,0,1,0,3,6,4,4,4,1,7,7,5,5,5,6,2,4,3,6,5,6,3,4,5,8,5,14,10,9,0,6,3,3,4,3,3,4,12,7,5,9,6,2,12,12,19,12,10,11,7,3,10,8,3,11,8,8,6,10,10,12,9,16,18,8,9,9,10,13,6,16,18,5,5,13,10,15,10,10,11,7,21,13,17,13,4,4,10,13,7,19,11,11,3,3,3,9,15,12,6,2,5,11,9,7,7,9,5,5,12,8,10,11,8
10014,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,5,3,3,5,6,6,7,7,5,5,8,7,7,8,8,5,10,8,8,7,7,6,5,4,1,3,7,6,1,3,0,5,1,5,4,4,3,1,2,1,0,4,2,5,2,1,3,1,2,1,0,2,0,0,0,0,1,2,2,3,1,1,1,2,0,1,0,1,2,2,0,1,0,2,1,1,2,0,0,1,0,0,2,1,0,1,0,0,2,1,0,3,0,1,3,0,0,0,3,1,1,1,1,1,0,1,3,0,1,2,0,2,0,1,2,0,0,2,2,2,1,2,0,9,1,1,0,1,0,0,1,1,1,0,0,0,1,0,4,2,0,1,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,4,0,3,1,2,2,0,1,0,1,2,1,1,0,1,0,0,0,2,1,2,1,2,1,2,3,1,1,1,3,1,0,2,4,1,2,1,3,5,2,3,5,2,5,6,5,5,0,3,3,4,0,7,1,13,1,2,3,3,3,3,4,9,4,12,4,9,7,9,6,11,6,4,4,5,6,3,8,1,7,10,6,7,8,0,5,1,5,6,4,4,6,6,2,7,8,8,6,7,9,4,7,6,6,3,1,7,6,6,9,12,2,2,3,6,7,11,5,16,10,5,9,10,12,19,8,5,2,6,6,7,7,7,10,4,4,8,6,16,6,11,5,6,5,0,11,8,3,4,4,4,6,10,11,5,8,6,10,8,7,10,5,2,6,9,7,6,11,3
10016,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,6,8,10,10,7,7,9,12,13,13,13,9,9,16,14,14,15,15,10,13,16,16,14,13,12,10,7,7,12,16,10,8,8,6,10,9,9,7,4,7,3,8,7,7,9,5,10,7,1,5,3,2,2,1,4,3,0,0,4,4,1,3,5,0,0,4,6,3,4,0,4,4,0,10,3,2,1,0,0,4,3,2,1,1,2,2,1,2,1,4,11,1,1,1,2,1,6,4,1,1,1,4,1,1,1,0,0,3,3,2,0,1,2,3,0,3,0,0,3,1,6,2,1,6,2,5,5,3,3,1,6,0,2,0,1,2,1,1,0,0,0,1,2,4,1,1,0,0,4,1,3,1,2,3,1,3,5,0,0,2,3,0,0,2,3,0,2,1,4,1,3,1,2,1,1,0,2,1,1,2,2,3,1,1,4,2,1,1,3,2,0,0,2,3,4,1,0,2,2,2,7,4,0,2,2,2,6,5,0,2,4,2,2,2,4,2,2,1,1,6,2,2,0,1,3,3,3,3,3,4,1,3,5,3,4,8,4,1,2,6,8,9,9,12,5,5,4,13,7,9,11,10,5,10,22,18,16,6,10,17,10,17,17,9,19,0,9,17,15,18,13,13,15,18,5,22,28,10,21,19,14,18,14,19,15,11,5,7,13,11,9,15,9,18,6,25,31,18,33,25,25,18,14,15,31,27,22,22,10,12,14,22,16,22,14,8,14,16,14,16,17,10,6,7,7,12,19,7,11,8,8,7,17,21,17,14,15,4,24,18,21,13,8,11,13,10,7,11,19,17
10017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,2,2,2,3,3,3,3,2,2,4,4,4,4,4,3,2,4,4,4,3,3,2,2,2,3,3,2,5,0,2,3,1,2,2,5,3,1,1,0,2,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,1,0,1,0,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,2,0,1,0,0,3,0,0,1,0,1,1,1,3,1,1,1,3,0,2,3,2,2,2,0,1,3,3,0,2,5,3,0,0,2,1,1,3,3,1,5,1,5,2,4,3,7,1,5,2,0,2,1,2,3,5,1,1,2,1,4,3,0,4,5,3,3,6,4,11,6,5,11,2,3,6,1,8,3,5,3,9,1,6,2,7,8,6,2,4,5,6,4,3,14,5,5,7,3,6,7,7,2,4,3,2,3,8,5,4,6,3,8,11,5,6,2,2,2,3,4,3,3,4,1,1,1,4,6,1,5,2,2,2,5,2,5,0,6,6,1,3,2,3,2
10018,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,5,3,3,4,5,6,6,6,4,4,7,7,7,7,7,5,3,8,7,7,6,5,5,3,1,2,0,0,4,3,2,5,1,4,3,1,3,1,2,4,0,0,3,0,6,0,0,0,1,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,1,1,0,0,0,2,0,0,3,1,2,0,1,1,3,0,0,2,0,1,1,0,1,1,5,1,0,3,2,2,0,0,0,1,4,0,0,2,0,0,1,5,3,1,0,1,1,1,0,2,3,3,2,0,1,2,1,4,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,4,0,0,0,1,0,1,1,0,1,1,0,0,1,0,4,0,0,2,0,0,0,1,0,0,0,0,2,0,1,10,0,52,19,20,16,17,2,0,1,1,0,1,3,1,58,1,2,4,0,0,3,6,2,4,1,4,2,2,7,3,0,2,4,5,3,12,5,4,4,4,4,10,5,0,0,1,3,4,3,3,4,2,0,1,3,2,2,5,3,2,1,0,2,4,3,3,5,1,3,3,5,4,0,2,2,7,5,5,6,3,3,3,5,3,6,1,2,1,5,3,4,4,2,8,5,4,4,1,1,2,10,1,2,8,3,1,0,2,2,2,2,0,2,2,1,0,2,2,2,3,1,1,1,2,2,1,3,3
10019,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,6,7,9,10,6,6,9,11,12,12,12,8,9,15,13,13,14,14,9,7,15,15,13,12,11,9,7,5,11,61,13,10,1,6,9,6,8,7,10,5,2,6,8,3,8,3,7,4,3,4,2,3,0,4,5,2,4,3,0,2,4,2,0,1,1,7,5,6,5,2,7,3,1,1,2,3,1,1,2,0,2,2,1,2,2,1,2,3,3,0,2,0,1,1,1,0,3,1,3,1,1,2,0,0,1,0,2,0,2,1,0,1,4,0,1,4,1,1,2,1,0,1,0,2,1,3,1,1,2,1,2,0,1,0,5,1,2,1,1,1,2,1,5,0,1,0,1,2,2,3,0,0,0,1,1,0,2,2,0,2,1,0,0,1,0,1,1,0,2,1,2,2,1,0,0,0,2,1,5,1,1,3,0,1,2,4,2,0,3,0,2,0,0,2,1,1,0,0,3,0,4,0,2,3,2,0,2,1,0,2,3,4,4,2,1,1,2,2,2,3,0,1,0,0,1,1,1,1,4,1,2,1,2,3,6,7,2,2,2,10,0,2,5,5,9,20,6,5,5,3,4,4,6,5,4,7,7,1,10,5,7,13,8,10,8,12,4,11,7,8,6,6,10,5,6,9,11,6,9,8,7,15,14,13,15,7,6,10,1,12,20,9,8,10,6,9,12,13,12,15,12,6,10,8,15,14,17,12,16,11,15,8,15,28,11,12,6,15,14,26,18,15,5,4,8,7,11,12,3,12,12,11,10,7,12,19,13,8,35,11,17,7,3,12,10,5,17,15,17,16
10021,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,6,7,9,9,6,6,8,11,11,12,12,8,8,14,13,13,13,13,9,11,15,14,13,12,11,9,7,3,11,5,7,7,9,3,9,7,8,7,7,3,2,4,5,2,11,2,3,2,0,1,1,2,3,4,6,1,1,0,3,6,3,1,1,0,1,2,5,0,1,1,2,9,1,2,2,0,2,0,4,4,2,0,1,0,1,1,0,3,1,0,0,2,0,1,1,1,2,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,2,1,0,5,2,2,2,3,1,1,0,1,2,1,0,1,0,0,4,0,1,1,1,2,2,0,0,0,1,0,0,1,2,2,1,0,0,1,1,1,0,0,1,0,2,2,0,2,1,0,0,1,0,2,0,3,2,1,0,4,0,0,0,1,2,4,1,1,1,3,0,2,0,5,4,1,5,0,2,1,5,1,0,0,1,2,3,1,3,1,1,2,3,0,0,2,3,1,1,3,1,1,3,3,0,1,3,2,6,2,2,2,5,5,4,4,2,2,5,2,8,0,4,6,0,1,4,1,8,6,5,7,9,4,3,1,9,6,2,6,3,8,6,15,9,10,11,10,12,8,14,6,14,0,6,8,9,11,8,8,9,8,13,9,15,10,8,12,9,3,13,16,12,12,2,9,4,10,18,10,4,12,10,12,17,24,10,23,11,12,8,18,20,10,10,9,8,9,10,12,20,9,10,14,5,6,13,12,20,10,7,7,6,10,10,10,9,7,7,6,12,8,9,5,3,7,22,6,6,11,8,8,16,7,10,12,14,8
10022,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,5,6,4,4,5,7,7,7,7,5,5,9,8,8,8,8,6,2,9,9,8,7,7,5,4,3,9,5,2,5,4,3,6,3,5,4,8,4,1,3,0,2,3,5,0,3,2,4,4,2,1,2,4,0,0,3,5,3,1,1,0,3,0,0,0,1,0,0,0,0,1,1,5,1,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,2,0,1,2,0,1,0,1,1,0,1,0,2,1,2,4,0,2,0,2,1,2,2,0,2,0,0,0,0,0,1,0,1,1,0,0,2,0,2,0,2,0,1,0,2,1,1,0,1,0,3,1,0,0,0,0,1,1,0,0,0,1,0,2,3,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,1,1,3,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,3,2,0,0,0,0,1,1,0,0,0,1,0,2,0,4,3,3,1,3,3,1,0,1,2,3,2,2,2,4,4,0,5,4,2,3,2,4,3,1,9,7,3,4,4,8,5,8,1,5,4,6,2,4,8,9,4,4,4,9,9,8,11,6,5,0,8,6,6,7,5,5,7,7,5,6,14,9,3,18,5,6,14,9,3,2,11,8,4,8,13,10,9,4,12,5,15,29,8,15,13,11,6,11,13,13,11,6,4,4,7,10,7,15,14,6,7,11,8,15,10,2,12,4,2,5,7,8,14,3,3,3,4,9,7,13,3,4,13,8,9,2,6,4,4,4,9,5,6,3
10023,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,5,6,8,9,6,6,8,10,10,11,11,7,8,13,12,12,12,12,8,6,14,13,12,11,10,8,6,9,18,38,10,5,6,6,8,5,7,6,12,2,2,3,7,1,4,1,5,2,2,0,4,6,0,2,2,0,2,2,1,6,1,1,4,3,3,4,4,2,2,2,4,2,0,3,3,0,0,1,1,1,0,0,2,1,1,1,0,2,1,0,2,0,1,2,3,0,1,0,0,2,0,1,4,2,1,0,0,2,0,2,0,1,1,1,1,3,1,1,2,0,2,1,0,2,1,4,1,0,1,2,3,2,0,0,0,0,2,4,0,2,1,2,2,2,1,4,2,4,0,1,0,0,2,2,0,2,2,0,0,0,3,0,2,0,1,1,0,1,0,0,0,0,1,1,1,0,3,3,1,0,0,2,0,0,3,4,2,0,1,2,0,4,4,1,1,3,2,3,1,3,1,2,4,0,1,2,0,4,1,2,3,1,1,2,3,4,1,3,4,0,4,1,0,1,2,3,2,2,5,1,0,3,4,4,9,3,3,4,3,5,0,8,8,9,6,10,6,9,12,3,5,9,8,6,6,14,5,13,15,6,12,19,9,13,6,0,6,12,7,8,6,6,21,11,11,16,13,10,13,7,6,3,14,11,7,11,6,5,6,7,16,22,11,13,15,13,18,35,25,24,21,15,11,14,21,18,20,15,12,12,18,15,18,10,12,15,15,10,14,25,14,11,7,11,11,13,21,27,15,17,17,16,12,23,17,13,0,12,21,13,22,13,6,8,13,13,9,14,17,17
10024,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,7,9,11,12,8,8,11,14,15,15,15,11,11,19,17,16,17,17,12,13,19,18,17,15,14,11,9,6,14,36,11,7,12,6,11,8,10,9,9,6,3,6,8,3,5,8,0,6,8,5,5,1,1,4,3,3,3,2,2,5,5,1,4,0,2,10,6,4,5,10,10,8,9,9,7,3,0,0,4,2,5,2,3,0,1,5,4,1,6,0,5,1,2,1,3,1,4,2,0,3,0,2,6,1,2,2,2,2,1,6,0,2,1,2,1,2,0,0,3,0,2,3,2,3,1,1,4,1,3,3,1,0,0,4,0,1,3,1,3,0,0,2,1,1,1,0,0,1,1,4,0,3,5,3,1,0,2,1,1,1,1,0,1,0,1,0,0,1,2,5,4,5,1,0,0,0,0,1,3,0,0,1,1,1,2,5,2,1,1,0,0,4,10,2,1,3,3,4,1,0,3,2,1,1,2,2,1,1,2,1,2,1,3,1,4,2,1,2,2,1,0,1,0,2,1,2,1,1,0,2,1,3,3,5,7,3,12,5,4,5,7,5,2,9,4,8,11,10,8,7,13,11,14,14,7,14,3,8,9,15,4,9,8,8,2,0,8,3,10,12,9,9,7,9,10,5,16,10,16,15,11,5,15,16,12,11,7,17,12,13,13,22,8,16,7,18,15,17,10,12,24,11,15,11,17,28,15,12,13,9,13,20,15,20,10,9,10,12,13,14,24,11,8,12,11,20,15,12,9,13,13,12,10,15,20,5,8,2,16,14,18,9,11,10,14,10,8,11,20,7
10025,0,0,0,0,0,0,0,0,0,1,2,4,4,6,13,15,18,23,25,16,16,22,28,30,31,31,21,22,38,34,34,35,35,24,20,39,37,34,31,28,23,18,26,33,105,20,26,11,28,23,13,21,17,26,21,6,13,16,9,6,20,12,5,14,5,3,7,3,8,8,8,3,4,4,2,9,2,7,5,8,20,24,29,1,3,20,10,2,5,12,5,8,8,8,7,3,13,9,3,2,4,7,4,3,2,0,3,3,1,1,2,18,3,3,4,4,2,3,7,3,0,2,7,4,0,0,3,2,1,0,3,5,4,3,2,0,7,2,1,4,1,2,0,3,0,4,0,0,6,3,1,1,2,0,2,1,2,0,4,3,2,3,1,5,3,2,2,2,3,1,1,2,4,1,4,2,1,1,2,2,1,5,1,5,4,3,4,2,3,3,0,5,7,1,1,1,5,4,2,4,3,2,0,1,0,3,1,1,4,2,4,3,1,1,0,9,8,7,5,6,3,0,8,1,4,4,1,2,4,3,2,4,2,5,3,6,3,3,2,6,6,5,5,3,5,5,7,5,3,9,12,7,7,14,4,10,11,8,9,7,11,10,15,14,15,19,10,10,10,19,11,21,17,23,11,16,16,17,22,18,0,14,10,16,19,14,14,24,21,12,18,27,13,11,21,18,19,15,24,13,22,6,30,14,26,28,22,14,9,26,18,30,25,24,22,22,30,23,42,37,38,30,11,23,25,22,40,42,50,26,29,21,45,29,37,41,29,29,20,24,16,35,36,21,31,31,28,22,31,21,17,13,11,38,25,33,24,27,21,30,34,39,26,27,27
10026,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,7,9,11,12,8,8,11,14,15,15,16,11,11,19,17,17,17,17,12,9,19,18,17,15,14,11,9,6,20,57,9,11,10,7,12,5,10,9,10,17,3,9,5,7,10,8,13,2,6,3,6,8,3,5,4,5,0,2,0,4,6,2,2,2,2,2,3,2,1,0,2,1,4,0,1,1,0,0,2,0,3,2,3,0,0,1,1,0,2,0,1,1,0,2,0,1,1,1,0,3,1,1,1,3,3,6,3,2,3,4,2,3,1,1,3,3,0,2,0,0,0,1,2,3,2,3,1,0,1,1,4,3,0,2,0,1,2,4,0,2,0,1,1,1,1,0,2,1,1,3,1,4,1,1,1,3,3,0,3,3,1,0,0,0,0,1,5,1,2,0,2,0,1,0,0,0,3,3,2,1,1,4,1,0,2,3,1,1,1,0,0,1,2,3,0,2,0,1,1,2,4,2,1,0,1,2,1,3,0,2,3,0,0,4,1,2,3,0,1,2,0,1,2,1,2,2,2,2,2,0,1,3,2,4,4,3,4,1,4,2,4,5,5,4,3,5,2,7,2,8,4,6,2,4,9,4,10,7,6,14,6,9,6,12,8,12,13,12,8,9,7,7,8,7,6,7,8,2,0,9,7,17,6,14,14,13,9,14,5,10,10,18,9,8,13,4,15,16,15,23,18,22,12,4,19,15,19,9,18,13,10,12,17,25,8,14,8,23,23,21,25,10,22,12,10,8,12,25,28,13,13,12,12,14,10,8,11,6,22,15,15,11,11,10,5,12,5,18,19,11
10027,0,0,0,0,0,0,0,0,0,1,2,3,3,5,11,12,15,18,20,13,13,18,22,24,25,25,17,18,30,27,27,29,28,19,17,32,30,28,25,22,19,14,11,9,103,13,21,7,14,19,6,17,14,24,14,5,14,17,7,15,7,21,10,11,7,9,15,4,6,10,6,8,6,6,15,7,5,8,7,4,6,9,4,4,1,6,0,7,3,7,4,2,3,7,3,2,1,1,1,1,3,2,1,4,1,0,3,1,3,1,1,6,2,1,3,6,0,4,1,2,7,2,2,3,0,0,2,3,3,5,2,0,1,1,2,3,4,3,0,2,1,3,0,1,1,4,0,0,3,1,2,6,6,0,0,2,2,4,3,5,3,0,2,0,1,1,0,0,1,3,2,1,2,1,4,0,2,1,0,2,1,0,1,4,0,1,3,2,4,5,0,6,1,8,1,1,3,5,3,0,2,3,1,1,2,0,3,1,0,0,0,6,0,3,2,1,3,0,1,0,0,1,5,3,1,2,2,1,5,0,6,2,0,3,2,1,1,0,1,2,2,2,2,2,3,0,7,0,2,5,6,8,6,4,7,12,8,9,8,10,7,6,5,10,16,6,11,8,3,16,4,11,13,8,20,12,16,20,5,9,0,19,8,14,16,12,12,3,11,13,9,17,6,6,5,9,10,22,15,11,7,8,13,5,17,8,19,7,4,18,35,23,29,27,33,30,27,19,22,32,31,36,17,21,19,21,45,29,40,21,19,20,23,37,20,21,17,17,10,15,9,38,25,25,16,16,15,11,27,21,19,14,10,36,26,18,16,5,15,12,18,14,10,11,17
10028,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,6,8,8,5,5,7,9,10,10,10,7,7,13,11,11,12,12,8,8,13,12,11,10,9,8,6,9,4,13,8,8,6,6,8,4,7,6,8,2,2,4,10,2,11,1,1,2,1,2,5,2,1,1,1,1,2,1,2,2,0,1,0,0,2,1,2,1,1,0,1,0,1,2,2,1,1,0,3,1,1,0,0,1,1,0,5,0,2,0,0,0,0,0,1,0,0,0,1,0,1,2,3,0,1,4,3,1,1,0,0,1,0,0,1,1,0,2,4,2,1,1,0,0,0,0,0,0,4,0,3,1,1,1,2,2,1,0,0,1,0,2,1,2,0,0,1,0,2,0,2,0,4,1,1,0,4,3,1,1,0,0,3,3,0,0,1,0,0,0,0,1,2,0,0,0,1,2,1,0,0,3,0,5,0,1,0,1,1,0,3,0,3,0,1,0,2,1,1,3,4,4,1,1,1,2,2,0,0,0,3,1,4,3,0,4,4,1,4,0,4,2,2,1,3,3,3,3,5,3,2,1,4,2,0,6,2,2,3,5,2,5,4,10,4,3,5,3,2,4,8,6,4,3,5,11,9,5,7,8,5,10,6,17,10,0,11,9,10,12,9,9,9,15,10,7,15,15,10,5,11,10,10,18,14,10,2,12,8,10,14,12,4,6,14,9,23,16,17,14,10,24,16,12,15,11,11,5,11,14,4,23,23,20,11,7,21,9,17,14,10,10,7,13,7,6,13,4,8,10,10,9,6,13,7,5,10,6,20,8,8,16,6,6,12,6,12,10,10,6
